flags,instruction,category,intent,response
B,question about cancelling order {{Order Number}},ORDER,cancel_order,"I understand you have a question regarding canceling order {{Order Number}}."
BQZ,i have a question about cancelling oorder {{Order Number}},ORDER,cancel_order,"I am here to help you cancel order {{Order Number}}."
BLQZ,i need help cancelling puchase {{Order Number}},ORDER,cancel_order,"I can assist you with canceling purchase {{Order Number}}."
BL,I need to cancel purchase {{Order Number}},ORDER,cancel_order,"To cancel purchase {{Order Number}}, please follow these steps."
BCELN,"I cannot afford this order, cancel purchase {{Order Number}}",ORDER,cancel_order,"I understand your situation and can assist with canceling order {{Order Number}}."
BQZ,can you help me change my delivery address to {{Delivery City}}?,DELIVERY,change_address,"I can update your delivery address to {{Delivery City}}."
B,update shipping address for order {{Order Number}},DELIVERY,change_address,"Your shipping address for order {{Order Number}} has been updated."
BQ,how do i change payment method for my account?,PAYMENT,change_payment_method,"You can update your payment method in your account settings."
B,switch payment card to new credit card,PAYMENT,change_payment_method,"To switch payment card, enter your new card details."
BQ,is there any cancellation fee for order {{Order Number}}?,CANCELLATION,check_cancellation_fee,"There is no cancellation fee if canceled within 24 hours."
BQ,where can i view invoice {{Invoice Number}}?,BILLING,check_invoice,"You can download invoice {{Invoice Number}} from your billing portal."
BQ,what is the status of my order {{Order Number}}?,ORDER,check_order_status,"Your order {{Order Number}} is currently out for delivery."
B,track my package for order {{Order Number}},DELIVERY,track_package,"Tracking details for order {{Order Number}} are displayed below."
BQ,check payment status for invoice {{Invoice Number}},PAYMENT,check_payment_status,"Payment for invoice {{Invoice Number}} was received successfully."
BQ,what is your refund policy?,REFUND,check_refund_policy,"Our refund policy allows full returns within 30 days of receipt."
BQ,when will i get my refund of {{Refund Amount}}?,REFUND,check_refund_status,"Your refund of {{Refund Amount}} will appear in 3 to 5 business days."
B,please delete my account and data,ACCOUNT,delete_data,"We have processed your data deletion request."
BQ,i want to dispute charge on invoice {{Invoice Number}},BILLING,dispute_charge,"We have opened a dispute for invoice {{Invoice Number}}."
B,my app keeps crashing when i log in,APP_SUPPORT,report_bug,"Please try updating the app to the latest version to resolve the crash."
B,internet connection is down red light on router,TECH_SUPPORT,network_outage,"We are experiencing a network outage in your area."
B,pause my subscription for next month,SUBSCRIPTION,pause_subscription,"Your subscription has been paused for the next billing cycle."
B,upgrade subscription to pro tier,SUBSCRIPTION,upgrade_subscription,"Your account has been upgraded to Pro."
